feature,importance
mid_volatility_5,0.06028105716160813
mid_volatility_10,0.05931765971845413
spread,0.05687669664956302
spread_ma_10,0.055171399896492175
weighted_obi_ma_10,0.05162091530672202
spread_std_10,0.04864088215019908
obi_ma_10,0.04744219225562665
spread_ma_5,0.04733163375936197
mid_return_10s,0.04555616351089156
weighted_obi_ma_5,0.04518177906466916
spread_std_5,0.04040234076286844
obi_ma_5,0.03652249960693548
weighted_obi,0.035514428128130604
buy_sell_ratio,0.032880683185451634
depth_obi,0.032398355636955305
mid_return,0.030398877246543915
weighted_obi_slope_10,0.02949295255222755
weighted_obi_slope_5,0.02557175397074313
obi_l1,0.02549812635009931
mid_return_5s,0.024944463830183585
obi_change_10s,0.023834118176630344
obi_change_5s,0.02032123258781611
spread_change,0.018884329781732257
mid_return_3s,0.018644604949390086
weighted_obi_change,0.01662192525465133
obi_change_3s,0.01566393080708287
weighted_obi_acceleration,0.01521202200409498
depth_obi_acceleration,0.015111459916075516
depth_obi_change,0.013610087495273433
obi_change,0.011051428283526238
